SessionID,Category,Grammar_Element,HighLevelObject,FileType,Total_Object_Count,Count_Converted_LOC,Count_Not_Converted_LOC,Count_Conversion_Errors,Count_Parsing_Errors
737d7824-0c23-4a68-8cba-6054adeb858b,Data Definition Statements,CHECKSUM,CREATE TABLE,SQL,1,1,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Manipulation Language Statements,COMMIT,Not specified,SQL,2,2,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Procedure statements,CREATE / REPLACE PROCEDURE,CREATE / REPLACE PROCEDURE,SQL,2,22,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Definition Statements,CREATE / REPLACE VIEW,CREATE / REPLACE VIEW,SQL,2,8,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Table Statements,CREATE TABLE,CREATE TABLE,SQL,3,20,7,0,6
737d7824-0c23-4a68-8cba-6054adeb858b,Data Type,DATE,CREATE / REPLACE PROCEDURE,SQL,2,0,2,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Type,DATE,CREATE TABLE,SQL,1,0,1,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,"SELECT statement syntax, options, clauses, modifiers",FROM,CREATE / REPLACE VIEW,SQL,2,2,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Manipulation Language Statement,INSERT,CREATE / REPLACE PROCEDURE,SQL,1,2,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Manipulation Language Statement,INSERT,INSERT,SQL,12,12,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Uncategorized,INTEGER,CREATE TABLE,SQL,3,3,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Uncategorized,INTEGER,CREATE / REPLACE PROCEDURE,SQL,3,3,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Definition Statements,MERGEBLOCKRATIO,CREATE TABLE,SQL,1,1,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Definition Statements,NO AFTER JOURNAL,CREATE TABLE,SQL,1,1,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Definition Statements,NO BEFORE JOURNAL,CREATE TABLE,SQL,1,1,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Definition Statements,NO FALLBACK,CREATE TABLE,SQL,1,1,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Definition Statements,NOT NULL,CREATE TABLE,SQL,4,4,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Definition Statements,PRIMARY INDEX,CREATE TABLE,SQL,1,0,1,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Definition Statements,PRIMARY KEY,CREATE TABLE,SQL,1,1,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,"SELECT statement syntax, options, clauses, modifiers",SELECT,CREATE / REPLACE VIEW,SQL,2,4,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Uncategorized,SqlGeneratedAsIdentity,CREATE TABLE,SQL,1,1,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Uncategorized,TdViewQuery,CREATE / REPLACE VIEW,SQL,2,0,8,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Data Manipulation Language Statements,UPDATE,CREATE / REPLACE PROCEDURE,SQL,1,3,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Uncategorized,VARCHAR,CREATE / REPLACE PROCEDURE,SQL,4,4,0,0,0
737d7824-0c23-4a68-8cba-6054adeb858b,Uncategorized,VARCHAR,CREATE TABLE,SQL,5,5,0,0,0
