Category,ConvertedObjects,NotConvertedObjects,PartiallyConvertedObjects,Total,ProcessedLoC,NotProcessedLOC,ErrorParsingLOC,TotalParsingErrors,TotalConversionErrors,ErrorConversionLOC,TotalLoc
Fallback Option,1,0,0,1,1,0,0,0,0,0,0
Table Journal Option,1,0,0,1,1,0,0,0,0,0,0
Table After Journal Option,1,0,0,1,1,0,0,0,0,0,0
Checksum Option,1,0,0,1,1,0,0,0,0,0,0
Table Merge Block Ratio Option,1,0,0,1,1,0,0,0,0,0,0
Primary Key,1,0,0,1,1,0,0,0,0,0,0
Simple Data Type,15,0,0,15,15,0,0,0,0,0,0
Generated As Identity,1,0,0,1,1,0,0,0,0,0,0
Tables,1,0,2,3,20,0,7,6,0,0,0
Inserts,13,0,0,13,14,0,0,0,0,0,0
From Clause,2,0,0,2,2,0,0,0,0,0,0
Teradata Select,2,0,0,2,4,0,0,0,0,0,0
View Query,0,2,0,2,0,8,0,0,0,0,0
Views,2,0,0,2,8,0,0,0,0,0,0
Procedures,2,0,0,2,22,0,0,0,0,0,0
