ExtensibilityAPI_Version,1.0.6.0
ExternalRulesCount,0
ExternalRulesExecuted,0
PartitionKey,54d3881e-b726-44a9-9e30-4e4351ec3d8c
LicenseData,d8c45a8b-7607-4aeb-ba39-2e4b7440d745
ProductName,Mobilize Snow Conversion Tool 13.0.110+master[f8349f3]-1357.753586
CoreVersion,13.0.110
AppVersion,Not Provided
OSVersion,Unix 5.4.0.1094
SystemRAM,Data not provided
SystemCPU,Data not provided
RunAsAdmin,Data not provided
SnowScript,True
WorkloadName,
StartConversion,2023/01/31 17:26:46 +00:00
CreateSession,2023/01/31 17:26:46 +00:00
ConversionSpeed,16
ElapsedTime,00:00:03
EndConversion,2023/01/31 17:26:49 +00:00
ParsingTime,1.0555712
FillSymbolStep1Time,0.1350336
FillSymbolStep2Time,0.0808178
ResolveDependencyTime,0.0125728
PreprocessingTime,0.0501066
PreConversionAssessmentTime,0.0513558
TransformationTime,0.4345502
CloseSession,2023/01/31 17:26:49 +00:00
SqlLinesCount,51
SqlFileCount,1
SqlSizeMB,0MB
SqlFilesNotGenerated,0
SqlLoCConversionRate,100
SqlCharacterConversionRate,100
SqlUnrecognizedElementsLOC,0
SqlTotalOccurrences,1
SqlFullyConvertedOccurrences,1
SqlFilesConversionRate,100
SqlTotalParsingErrors,0
SqlTotalConversionErrors,0
SqlTotalWarnings,1
SqlTotalCharacters,1751
TotalFiles,1
TotalFilesNotGenerated,0
TotalLinesOfCode,51
TotalSize,2.03KB
TotalErrors,0
TotalWarnings,1
TotalParsingErrors,0
TotalConversionErrors,0
TotalCharacterConversionRate,100
TotalLoCConversionRate,100
TotalIdentifiedObjects,4
UnrecognizedElements,0
UnrecognizedElementsLOC,0
SqlIdentifiedObjects,4
ObjectsSuccessfullyConverted,4
ObjectConversionRate,100
TableObjectConversionRate,100
TableCharacterConversionRate,100
TableLoCConversionRate,100
TableFullyConvertedOccurrences,1
TableTotalOccurrences,1
TableTotalParsingErrors,0
TableTotalConversionErrors,0
TableTotalWarnings,1
TableTotalCharacters,215
TableTotalLinesOfCode,10
ViewObjectConversionRate,100
ViewCharacterConversionRate,100
ViewLoCConversionRate,100
ViewFullyConvertedOccurrences,1
ViewTotalOccurrences,1
ViewTotalParsingErrors,0
ViewTotalConversionErrors,0
ViewTotalWarnings,0
ViewTotalCharacters,108
ViewTotalLinesOfCode,5
ProcedureObjectConversionRate,100
ProcedureCharacterConversionRate,100
ProcedureLoCConversionRate,100
ProcedureFullyConvertedOccurrences,2
ProcedureTotalOccurrences,2
ProcedureTotalParsingErrors,0
ProcedureTotalConversionErrors,0
ProcedureTotalWarnings,0
ProcedureTotalCharacters,572
ProcedureTotalLinesOfCode,24
ProcedureCursorOccurrences,0
ProcedureLoopOccurrences,0
FunctionObjectConversionRate,0
FunctionCharacterConversionRate,0
FunctionLoCConversionRate,0
FunctionFullyConvertedOccurrences,0
FunctionTotalOccurrences,0
FunctionTotalParsingErrors,0
FunctionTotalConversionErrors,0
FunctionTotalWarnings,0
FunctionTotalCharacters,0
FunctionTotalLinesOfCode,0
SqlTableObjectConversionRate,100
SqlTableLoCConversionRate,100
SqlTableTotalOccurrences,1
SqlTableFullyConvertedOccurrences,1
SqlTableTotalLinesOfCode,10
SqlTableTotalCharacters,215
SqlTableTotalParsingErrors,0
SqlTableTotalWarnings,1
SqlTableTotalConversionErrors,0
SqlTableCharacterConversionRate,100
SqlViewObjectConversionRate,100
SqlViewLoCConversionRate,100
SqlViewTotalOccurrences,1
SqlViewFullyConvertedOccurrences,1
SqlViewTotalLinesOfCode,5
SqlViewTotalCharacters,108
SqlViewTotalParsingErrors,0
SqlViewTotalConversionErrors,0
SqlViewTotalWarnings,0
SqlViewCharacterConversionRate,100
SqlProcedureObjectConversionRate,100
SqlProcedureLoCConversionRate,100
SqlProcedureTotalOccurrences,2
SqlProcedureFullyConvertedOccurrences,2
SqlProcedureTotalLinesOfCode,24
SqlProcedureTotalCharacters,572
SqlProcedureTotalParsingErrors,0
SqlProcedureTotalConversionErrors,0
SqlProcedureTotalWarnings,0
SqlProcedureCharacterConversionRate,100
SqlFunctionObjectConversionRate,0
SqlFunctionLoCConversionRate,0
SqlFunctionTotalOccurrences,0
SqlFunctionFullyConvertedOccurrences,0
SqlFunctionTotalLinesOfCode,0
SqlFunctionTotalCharacters,0
SqlFunctionTotalParsingErrors,0
SqlFunctionTotalConversionErrors,0
SqlFunctionTotalWarnings,0
SqlFunctionCharacterConversionRate,0
FunctionMultiStatementTableValuedCount,0
FunctionTableValuedCount,0
FunctionSimpleScalarCount,0
FunctionMultiStatementScalarCount,0
FunctionScalarCount,0
UdfCallsInDDLCount,0
UdfCallsInDMLCount,0
